POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date,Year
31,Dwayne Bravo,4,17,2,10,4.25,12.0,SRH,Sharjah Cricket Stadium,2021-09-30,2021
32,Trent Boult,4,17,1,16,4.25,24.0,RCB,Dubai International Stadium,2021-09-26,2021
33,Rashid Khan,4,17,1,11,4.25,24.0,PBKS,Chidambaram,2021-04-21,2021
34,Rashid Khan,4,17,1,11,4.25,24.0,PBKS,Sharjah Cricket Stadium,2021-09-25,2021
35,Lalit Yadav,4,17,1,7,4.25,24.0,MI,Chidambaram,2021-04-20,2021
36,Avesh Khan,3,13,3,9,4.33,6.0,KKR,Sharjah Cricket Stadium,2021-09-28,2021
37,Lalit Yadav,3,13,2,6,4.33,9.0,KKR,Narendra Modi Stadium,2021-04-29,2021
38,Axar Patel,3,13,0,10,4.33,0.0,KKR,Sharjah Cricket Stadium,2021-09-28,2021
39,Lockie Ferguson,4,18,3,17,4.5,8.0,RR,Sharjah Cricket Stadium,2021-10-07,2021
40,Sunil Narine,4,18,2,10,4.5,12.0,DC,Sharjah Cricket Stadium,2021-09-28,2021
41,Rashid Khan,4,18,2,10,4.5,12.0,RCB,Chidambaram,2021-04-14,2021
42,Axar Patel,4,18,2,6,4.5,12.0,CSK,Dubai International Stadium,2021-10-04,2021
43,Anrich Nortje,4,18,2,12,4.5,12.0,RR,Zayed Cricket Stadium,2021-09-25,2021
44,Yuzvendra Chahal,4,18,2,11,4.5,12.0,RR,Dubai International Stadium,2021-09-29,2021
45,Kieron Pollard,2,9,0,3,4.5,0.0,RR,Sharjah Cricket Stadium,2021-10-05,2021
46,Abhishek Sharma,2,9,0,6,4.5,0.0,CSK,Sharjah Cricket Stadium,2021-09-30,2021
47,Siddarth Kaul,3,17,1,11,4.63,22.0,KKR,Dubai International Stadium,2021-10-03,2021
48,Dan Christian,3,14,2,8,4.66,9.0,SRH,Zayed Cricket Stadium,2021-10-06,2021
49,Ravindra Jadeja,3,14,1,5,4.66,18.0,SRH,Sharjah Cricket Stadium,2021-09-30,2021
50,Ravichandran Ashwin,3,14,0,5,4.66,0.0,RR,Wankhede Stadium,2021-04-15,2021
51,Jason Holder,4,19,3,9,4.75,8.0,PBKS,Sharjah Cricket Stadium,2021-09-25,2021
52,Harpreet Brar,4,19,3,15,4.75,8.0,RCB,Narendra Modi Stadium,2021-04-30,2021
53,Rahul Chahar,4,19,3,13,4.75,8.0,SRH,Chidambaram,2021-04-17,2021
54,Deepak Chahar,4,19,2,13,4.75,12.0,MI,Dubai International Stadium,2021-09-19,2021
55,Mohammed Siraj,4,19,2,10,4.75,12.0,KKR,Sharjah Cricket Stadium,2021-10-11,2021
56,Harshal Patel,4,19,2,10,4.75,12.0,KKR,Sharjah Cricket Stadium,2021-10-11,2021
57,Nathan Coulter-Nile,4,19,1,12,4.75,24.0,DC,Sharjah Cricket Stadium,2021-10-02,2021
58,Shivam Mavi,4,19,1,17,4.75,24.0,RR,Wankhede Stadium,2021-04-24,2021
59,Rahul Chahar,4,19,1,8,4.75,24.0,PBKS,Chidambaram,2021-04-23,2021
60,Anrich Nortje,4,19,1,15,4.75,24.0,MI,Sharjah Cricket Stadium,2021-10-02,2021
61,Ravi Bishnoi,4,19,0,9,4.75,0.0,KKR,Narendra Modi Stadium,2021-04-26,2021
62,Ravindra Jadeja,4,19,0,14,4.75,0.0,PBKS,Wankhede Stadium,2021-04-16,2021
63,Nathan Coulter-Nile,4,19,0,10,4.75,0.0,PBKS,Zayed Cricket Stadium,2021-09-28,2021
64,Mustafizur Rahman,4,20,3,12,5.0,8.0,SRH,Arun Jaitley Stadium,2021-05-02,2021
65,Shahbaz Ahmed,2,10,2,2,5.0,6.0,RR,Dubai International Stadium,2021-09-29,2021
66,Shardul Thakur,4,20,2,10,5.0,12.0,KKR,Zayed Cricket Stadium,2021-09-26,2021
67,Lockie Ferguson,2,10,2,6,5.0,6.0,DC,Sharjah Cricket Stadium,2021-09-28,2021
68,Shakib Al Hasan,4,20,1,10,5.0,24.0,SRH,Dubai International Stadium,2021-10-03,2021
69,Dwayne Bravo,2,10,1,6,5.0,12.0,PBKS,Wankhede Stadium,2021-04-16,2021
70,Mohammed Siraj,3,15,1,12,5.0,18.0,MI,Dubai International Stadium,2021-09-26,2021
71,Deepak Hooda,3,15,1,9,5.0,18.0,MI,Chidambaram,2021-04-23,2021
72,Sunil Narine,4,20,1,10,5.0,24.0,MI,Zayed Cricket Stadium,2021-09-23,2021
73,Sandeep Sharma,4,20,1,12,5.0,24.0,PBKS,Sharjah Cricket Stadium,2021-09-25,2021
74,Ravichandran Ashwin,4,20,1,14,5.0,24.0,RR,Zayed Cricket Stadium,2021-09-25,2021
75,Nathan Ellis,4,20,1,13,5.0,24.0,MI,Zayed Cricket Stadium,2021-09-28,2021
76,Ravichandran Ashwin,4,20,1,8,5.0,24.0,CSK,Dubai International Stadium,2021-10-04,2021
77,Sunil Narine,4,20,0,12,5.0,0.0,RCB,Zayed Cricket Stadium,2021-09-20,2021
78,Kieron Pollard,2,10,0,5,5.0,0.0,SRH,Chidambaram,2021-04-17,2021
79,Jayant Yadav,4,20,0,16,5.0,0.0,PBKS,Chidambaram,2021-04-23,2021
80,Yuzvendra Chahal,2,10,0,5,5.0,0.0,DC,Narendra Modi Stadium,2021-04-27,2021
81,Sunil Narine,4,20,0,11,5.0,0.0,RR,Wankhede Stadium,2021-04-24,2021
82,Varun Chakaravarthy,4,20,0,7,5.0,0.0,RCB,Sharjah Cricket Stadium,2021-10-11,2021
83,Bhuvneshwar Kumar,4,20,0,14,5.0,0.0,KKR,Dubai International Stadium,2021-10-03,2021
84,Sunil Narine,4,21,4,11,5.25,6.0,RCB,Sharjah Cricket Stadium,2021-10-11,2021
85,Mohammad Shami,4,21,3,13,5.25,8.0,RR,Dubai International Stadium,2021-09-21,2021
86,Axar Patel,4,21,3,8,5.25,8.0,MI,Sharjah Cricket Stadium,2021-10-02,2021
87,Khaleel Ahmed,4,21,3,9,5.25,8.0,PBKS,Chidambaram,2021-04-21,2021
88,Mohammad Shami,4,21,2,7,5.25,12.0,MI,Chidambaram,2021-04-23,2021
89,Mohammad Shami,4,21,2,11,5.25,12.0,CSK,Wankhede Stadium,2021-04-16,2021
90,Ravi Bishnoi,4,21,2,10,5.25,12.0,MI,Chidambaram,2021-04-23,2021
91,Adam Milne,4,21,2,14,5.25,12.0,CSK,Dubai International Stadium,2021-09-19,2021
92,Axar Patel,4,21,2,9,5.25,12.0,SRH,Dubai International Stadium,2021-09-22,2021
93,Ravindra Jadeja,4,21,1,5,5.25,24.0,KKR,Zayed Cricket Stadium,2021-09-26,2021
94,Axar Patel,4,21,1,11,5.25,24.0,PBKS,Narendra Modi Stadium,2021-05-02,2021
95,Umran Malik,4,21,1,11,5.25,24.0,RCB,Zayed Cricket Stadium,2021-10-06,2021
96,Jagadeesha Suchith,4,21,0,9,5.25,0.0,DC,Chidambaram,2021-04-25,2021
97,Kagiso Rabada,4,21,0,12,5.25,0.0,CSK,Dubai International Stadium,2021-10-04,2021
98,Shahbaz Ahmed,4,21,0,7,5.25,0.0,SRH,Zayed Cricket Stadium,2021-10-06,2021
99,Bhuvneshwar Kumar,3,16,1,7,5.33,18.0,PBKS,Chidambaram,2021-04-21,2021
100,Moeen Ali,3,16,0,8,5.33,0.0,DC,Dubai International Stadium,2021-10-04,2021
101,Moeen Ali,3,16,0,4,5.33,0.0,MI,Dubai International Stadium,2021-09-19,2021
102,Harshal Patel,3,17,4,10,5.36,4.75,MI,Dubai International Stadium,2021-09-26,2021
103,Sunil Narine,4,22,2,10,5.5,12.0,PBKS,Narendra Modi Stadium,2021-04-26,2021
104,Ravi Bishnoi,4,22,2,9,5.5,12.0,KKR,Dubai International Stadium,2021-10-01,2021
105,Mustafizur Rahman,4,22,2,6,5.5,12.0,DC,Zayed Cricket Stadium,2021-09-25,2021
106,Chris Woakes,4,22,2,13,5.5,12.0,RR,Wankhede Stadium,2021-04-15,2021
107,Mohammad Shami,4,22,1,14,5.5,24.0,CSK,Dubai International Stadium,2021-10-07,2021
108,Mustafizur Rahman,4,22,1,13,5.5,24.0,KKR,Wankhede Stadium,2021-04-24,2021
109,Shahbaz Ahmed,2,11,1,2,5.5,12.0,PBKS,Narendra Modi Stadium,2021-04-30,2021
110,Arshdeep Singh,4,22,1,9,5.5,24.0,SRH,Sharjah Cricket Stadium,2021-09-25,2021
111,Fabian Allen,4,22,1,13,5.5,24.0,SRH,Chidambaram,2021-04-21,2021
112,Varun Chakaravarthy,4,22,1,9,5.5,24.0,CSK,Zayed Cricket Stadium,2021-09-26,2021
113,Avesh Khan,4,22,1,9,5.5,24.0,KKR,Sharjah Cricket Stadium,2021-10-13,2021
114,Rashid Khan,4,22,0,11,5.5,0.0,MI,Chidambaram,2021-04-17,2021
115,Deepak Hooda,4,22,0,12,5.5,0.0,SRH,Chidambaram,2021-04-21,2021
116,Harpreet Brar,4,22,0,12,5.5,0.0,CSK,Dubai International Stadium,2021-10-07,2021
117,Varun Chakaravarthy,4,22,0,9,5.5,0.0,MI,Zayed Cricket Stadium,2021-09-23,2021
118,Rahul Chahar,4,22,0,10,5.5,0.0,CSK,Dubai International Stadium,2021-09-19,2021
119,Murugan Ashwin,4,22,0,7,5.5,0.0,SRH,Chidambaram,2021-04-21,2021
120,Mohammed Siraj,4,22,0,12,5.5,0.0,MI,Chidambaram,2021-04-09,2021
121,Deepak Hooda,2,11,0,3,5.5,0.0,DC,Narendra Modi Stadium,2021-05-02,2021
122,Ravi Bishnoi,3,17,2,8,5.66,9.0,MI,Zayed Cricket Stadium,2021-09-28,2021
123,Moeen Ali,3,17,1,6,5.66,18.0,PBKS,Wankhede Stadium,2021-04-16,2021
124,Harpreet Brar,3,17,1,4,5.66,18.0,RR,Dubai International Stadium,2021-09-21,2021
125,Rahul Tewatia,3,17,1,6,5.66,18.0,DC,Zayed Cricket Stadium,2021-09-25,2021
126,Mohammed Siraj,3,17,0,11,5.66,0.0,KKR,Chidambaram,2021-04-18,2021
127,Mohammed Siraj,3,17,0,11,5.66,0.0,SRH,Zayed Cricket Stadium,2021-10-06,2021
128,Riley Meredith,3,21,0,14,5.72,0.0,CSK,Wankhede Stadium,2021-04-16,2021
129,Chris Morris,4,23,4,18,5.75,6.0,KKR,Wankhede Stadium,2021-04-24,2021
130,Avesh Khan,4,23,2,11,5.75,12.0,CSK,Wankhede Stadium,2021-04-10,2021
131,Glenn Maxwell,4,23,2,8,5.75,12.0,MI,Dubai International Stadium,2021-09-26,2021
132,Kagiso Rabada,4,23,2,13,5.75,12.0,KKR,Sharjah Cricket Stadium,2021-10-13,2021
133,Rashid Khan,4,23,1,13,5.75,24.0,KKR,Dubai International Stadium,2021-10-03,2021
134,Shakib Al Hasan,4,23,1,4,5.75,24.0,MI,Chidambaram,2021-04-13,2021
135,Chetan Sakariya,4,23,1,12,5.75,24.0,KKR,Sharjah Cricket Stadium,2021-10-07,2021
136,Mohammad Shami,4,23,1,10,5.75,24.0,KKR,Dubai International Stadium,2021-10-01,2021
137,Trent Boult,4,23,0,13,5.75,0.0,DC,Chidambaram,2021-04-20,2021
138,Amit Mishra,4,24,4,11,6.0,6.0,MI,Chidambaram,2021-04-20,2021
139,Pat Cummins,4,24,3,15,6.0,8.0,DC,Narendra Modi Stadium,2021-04-29,2021
140,Josh Hazlewood,4,24,3,13,6.0,8.0,SRH,Sharjah Cricket Stadium,2021-09-30,2021
141,Ravi Bishnoi,4,24,3,10,6.0,8.0,SRH,Sharjah Cricket Stadium,2021-09-25,2021
142,Dwayne Bravo,4,24,3,10,6.0,8.0,RCB,Sharjah Cricket Stadium,2021-09-24,2021
143,Jasprit Bumrah,4,24,2,11,6.0,12.0,PBKS,Zayed Cricket Stadium,2021-09-28,2021
144,Anrich Nortje,4,24,2,9,6.0,12.0,RCB,Dubai International Stadium,2021-10-08,2021
145,Sam Curran,4,24,2,14,6.0,12.0,RR,Wankhede Stadium,2021-04-19,2021
146,Chris Woakes,3,18,2,11,6.0,9.0,CSK,Wankhede Stadium,2021-04-10,2021
147,Kieron Pollard,2,12,2,4,6.0,6.0,CSK,Arun Jaitley Stadium,2021-05-01,2021
148,Lockie Ferguson,4,24,2,11,6.0,12.0,RCB,Zayed Cricket Stadium,2021-09-20,2021
149,Abhishek Sharma,4,24,2,10,6.0,12.0,PBKS,Chidambaram,2021-04-21,2021
150,Rashid Khan,4,24,2,10,6.0,12.0,KKR,Chidambaram,2021-04-11,2021
1,Jasprit Bumrah,4,10,5,18,2.5,4.8,KKR,DY Patil Stadium,2022-05-09,2022
2,Axar Patel,4,10,2,14,2.5,12.0,PBKS,Brabourne - CCI,2022-04-20,2022
3,Harshal Patel,4,11,2,19,2.75,12.0,KKR,DY Patil Stadium,2022-03-30,2022
4,Krunal Pandya,4,11,2,15,2.75,12.0,PBKS,Maharashtra Cricket Association Stadium,2022-04-29,2022
5,Sunil Narine,4,12,1,13,3.0,24.0,RCB,DY Patil Stadium,2022-03-30,2022
6,Rahul Chahar,4,13,2,13,3.25,12.0,KKR,Wankhede Stadium,2022-04-01,2022
7,Umran Malik,4,13,1,19,3.25,24.0,RCB,Brabourne - CCI,2022-04-23,2022
8,Moeen Ali,4,13,3,16,3.25,8.0,DC,DY Patil Stadium,2022-05-08,2022
9,Dushmantha Chameera,4,14,0,15,3.5,0.0,MI,Wankhede Stadium,2022-04-24,2022
10,Murugan Ashwin,4,14,2,14,3.5,12.0,DC,Brabourne - CCI,2022-03-27,2022
11,Trent Boult,4,14,1,17,3.5,24.0,GT,Narendra Modi Stadium,2022-05-29,2022
12,Axar Patel,4,14,2,14,3.5,12.0,PBKS,DY Patil Stadium,2022-05-16,2022
13,Varun Chakaravarthy,4,14,0,14,3.5,0.0,PBKS,Wankhede Stadium,2022-04-01,2022
14,Rashid Khan,4,15,0,10,3.75,0.0,RR,Eden Gardens,2022-05-24,2022
15,Yuzvendra Chahal,4,15,2,12,3.75,12.0,RCB,Wankhede Stadium,2022-04-05,2022
16,Wanindu Hasaranga,4,15,2,12,3.75,12.0,PBKS,Brabourne - CCI,2022-05-13,2022
17,Sunil Narine,4,15,0,10,3.75,0.0,CSK,Wankhede Stadium,2022-03-26,2022
18,Umesh Yadav,4,16,2,14,4.0,12.0,RCB,DY Patil Stadium,2022-03-30,2022
19,Mohsin Khan,4,16,4,15,4.0,6.0,DC,Wankhede Stadium,2022-05-01,2022
20,Prasidh Krishna,4,16,2,16,4.0,12.0,SRH,Maharashtra Cricket Association Stadium,2022-03-29,2022
21,Daniel Sams,4,16,3,18,4.0,8.0,CSK,Wankhede Stadium,2022-05-12,2022
22,Sandeep Sharma,4,17,0,15,4.25,0.0,GT,DY Patil Stadium,2022-05-03,2022
23,Dushmantha Chameera,4,17,2,17,4.25,12.0,PBKS,Maharashtra Cricket Association Stadium,2022-04-29,2022
24,Krunal Pandya,4,17,1,12,4.25,24.0,GT,Wankhede Stadium,2022-03-28,2022
25,Josh Hazlewood,4,17,2,13,4.25,12.0,SRH,Wankhede Stadium,2022-05-08,2022
26,Jasprit Bumrah,4,17,3,16,4.25,8.0,RR,DY Patil Stadium,2022-04-02,2022
27,Ravichandran Ashwin,4,17,3,14,4.25,8.0,RCB,Maharashtra Cricket Association Stadium,2022-04-26,2022
28,Hardik Pandya,4,17,3,14,4.25,8.0,RR,Narendra Modi Stadium,2022-05-29,2022
29,Mohsin Khan,4,18,1,10,4.5,24.0,GT,Maharashtra Cricket Association Stadium,2022-05-10,2022
30,Prashant Solanki,4,18,0,6,4.5,0.0,GT,Wankhede Stadium,2022-05-15,2022
31,Wanindu Hasaranga,4,18,5,14,4.5,4.8,SRH,Wankhede Stadium,2022-05-08,2022
32,Trent Boult,4,18,2,14,4.5,12.0,LSG,Brabourne - CCI,2022-05-15,2022
33,Kuldeep Yadav,4,18,3,8,4.5,8.0,MI,Brabourne - CCI,2022-03-27,2022
34,Mustafizur Rahman,4,18,3,14,4.5,8.0,KKR,Wankhede Stadium,2022-04-28,2022
35,Rashid Khan,4,18,1,9,4.5,24.0,RR,Narendra Modi Stadium,2022-05-29,2022
36,Sandeep Sharma,4,18,1,14,4.5,24.0,LSG,Maharashtra Cricket Association Stadium,2022-04-29,2022
37,Harshal Patel,4,18,1,11,4.5,24.0,RR,Wankhede Stadium,2022-04-05,2022
38,Sunil Narine,4,19,0,12,4.75,0.0,RR,Wankhede Stadium,2022-05-02,2022
39,Josh Hazlewood,4,19,1,10,4.75,24.0,CSK,Maharashtra Cricket Association Stadium,2022-05-04,2022
40,Mohammad Shami,4,19,2,9,4.75,12.0,CSK,Wankhede Stadium,2022-05-15,2022
41,Rahul Chahar,4,19,0,14,4.75,0.0,DC,DY Patil Stadium,2022-05-16,2022
42,Sunil Narine,4,19,1,13,4.75,24.0,DC,Wankhede Stadium,2022-04-28,2022
43,Pradeep Sangwan,4,19,2,12,4.75,12.0,RCB,Brabourne - CCI,2022-04-30,2022
44,Krunal Pandya,4,19,3,10,4.75,8.0,MI,Wankhede Stadium,2022-04-24,2022
45,Josh Hazlewood,4,19,2,16,4.75,12.0,RR,Maharashtra Cricket Association Stadium,2022-04-26,2022
46,Umesh Yadav,4,19,1,13,4.75,24.0,SRH,Maharashtra Cricket Association Stadium,2022-05-14,2022
47,Kumar Kartikeya Singh,4,19,1,9,4.75,24.0,RR,DY Patil Stadium,2022-04-30,2022
48,Mohsin Khan,4,20,3,16,5.0,8.0,KKR,DY Patil Stadium,2022-05-18,2022
49,Mohammad Shami,4,20,2,16,5.0,12.0,KKR,DY Patil Stadium,2022-04-23,2022
50,Wanindu Hasaranga,4,20,4,15,5.0,6.0,KKR,DY Patil Stadium,2022-03-30,2022
51,Umesh Yadav,4,20,2,15,5.0,12.0,CSK,Wankhede Stadium,2022-03-26,2022
52,Sai Kishore,4,20,0,7,5.0,0.0,RCB,Wankhede Stadium,2022-05-19,2022
53,Obed McCoy,4,20,2,11,5.0,12.0,CSK,Brabourne - CCI,2022-05-20,2022
54,Dwayne Bravo,4,20,3,11,5.0,8.0,KKR,Wankhede Stadium,2022-03-26,2022
55,Ravindra Jadeja,4,20,0,7,5.0,0.0,RCB,Maharashtra Cricket Association Stadium,2022-05-04,2022
56,Sunil Narine,4,20,1,12,5.0,24.0,LSG,Maharashtra Cricket Association Stadium,2022-05-07,2022
57,Yuzvendra Chahal,4,20,1,10,5.0,24.0,GT,Narendra Modi Stadium,2022-05-29,2022
58,Mohammad Shami,4,20,1,13,5.0,24.0,CSK,Maharashtra Cricket Association Stadium,2022-04-17,2022
59,Ravichandran Ashwin,4,20,0,5,5.0,0.0,LSG,Wankhede Stadium,2022-04-10,2022
60,Tim Southee,4,20,3,16,5.0,8.0,RCB,DY Patil Stadium,2022-03-30,2022
61,Akash Deep,4,20,1,14,5.0,24.0,MI,Maharashtra Cricket Association Stadium,2022-04-09,2022
62,Khaleel Ahmed,4,21,2,13,5.25,12.0,PBKS,Brabourne - CCI,2022-04-20,2022
63,Washington Sundar,4,21,2,7,5.25,12.0,CSK,DY Patil Stadium,2022-04-09,2022
64,Sunil Narine,4,21,2,12,5.25,12.0,DC,Brabourne - CCI,2022-04-10,2022
65,Moeen Ali,4,21,1,8,5.25,24.0,RR,Brabourne - CCI,2022-05-20,2022
66,Mustafizur Rahman,4,21,0,13,5.25,0.0,KKR,Brabourne - CCI,2022-04-10,2022
67,Ravichandran Ashwin,4,21,1,9,5.25,24.0,MI,DY Patil Stadium,2022-04-30,2022
68,Kagiso Rabada,4,21,3,15,5.25,8.0,RCB,Brabourne - CCI,2022-05-13,2022
69,Rashid Khan,4,21,0,9,5.25,0.0,PBKS,DY Patil Stadium,2022-05-03,2022
70,Sunil Narine,4,21,2,11,5.25,12.0,RR,Brabourne - CCI,2022-04-18,2022
71,Sunil Narine,4,21,0,9,5.25,0.0,MI,DY Patil Stadium,2022-05-09,2022
72,Ravichandran Ashwin,4,21,0,8,5.25,0.0,SRH,Maharashtra Cricket Association Stadium,2022-03-29,2022
73,Lalit Yadav,4,21,1,10,5.25,24.0,LSG,DY Patil Stadium,2022-04-07,2022
74,Vaibhav Arora,4,21,2,14,5.25,12.0,CSK,Brabourne - CCI,2022-04-03,2022
75,Pat Cummins,4,22,3,11,5.5,8.0,MI,DY Patil Stadium,2022-05-09,2022
76,Yuzvendra Chahal,4,22,3,8,5.5,8.0,SRH,Maharashtra Cricket Association Stadium,2022-03-29,2022
77,Simarjeet Singh,4,22,1,16,5.5,24.0,MI,Wankhede Stadium,2022-05-12,2022
78,Prasidh Krishna,4,22,3,17,5.5,8.0,RCB,Narendra Modi Stadium,2022-05-27,2022
79,Glenn Maxwell,4,22,2,8,5.5,12.0,CSK,Maharashtra Cricket Association Stadium,2022-05-04,2022
80,Andre Russell,4,22,3,14,5.5,8.0,SRH,Maharashtra Cricket Association Stadium,2022-05-14,2022
81,Ravi Bishnoi,4,22,2,12,5.5,12.0,DC,DY Patil Stadium,2022-04-07,2022
82,Rashid Khan,4,22,3,10,5.5,8.0,PBKS,Brabourne - CCI,2022-04-08,2022
83,Bhuvneshwar Kumar,4,22,3,13,5.5,8.0,PBKS,DY Patil Stadium,2022-04-17,2022
84,Rahul Chahar,4,22,1,8,5.5,24.0,RCB,DY Patil Stadium,2022-03-27,2022
85,Prasidh Krishna,4,22,3,14,5.5,8.0,DC,Wankhede Stadium,2022-04-22,2022
86,Dushmantha Chameera,4,22,0,14,5.5,0.0,RR,Wankhede Stadium,2022-04-10,2022
87,Bhuvneshwar Kumar,4,22,0,8,5.5,0.0,CSK,Maharashtra Cricket Association Stadium,2022-05-01,2022
88,Rashid Khan,4,22,2,11,5.5,12.0,KKR,DY Patil Stadium,2022-04-23,2022
89,Hardik Pandya,4,22,1,11,5.5,24.0,DC,Maharashtra Cricket Association Stadium,2022-04-02,2022
90,Arshdeep Singh,4,23,0,8,5.75,0.0,LSG,Maharashtra Cricket Association Stadium,2022-04-29,2022
91,Lockie Ferguson,4,23,3,12,5.75,8.0,RR,DY Patil Stadium,2022-04-14,2022
92,Wanindu Hasaranga,4,23,2,11,5.75,12.0,RR,Maharashtra Cricket Association Stadium,2022-04-26,2022
93,Umesh Yadav,4,23,4,13,5.75,6.0,PBKS,Wankhede Stadium,2022-04-01,2022
94,Harshal Patel,4,23,2,14,5.75,12.0,MI,Maharashtra Cricket Association Stadium,2022-04-09,2022
95,Mustafizur Rahman,4,23,3,7,5.75,8.0,GT,Maharashtra Cricket Association Stadium,2022-04-02,2022
96,Varun Chakaravarthy,4,23,1,11,5.75,24.0,CSK,Wankhede Stadium,2022-03-26,2022
97,Arshdeep Singh,4,23,1,9,5.75,24.0,CSK,Wankhede Stadium,2022-04-25,2022
98,Chris Jordan,4,23,2,12,5.75,12.0,PBKS,Brabourne - CCI,2022-04-03,2022
99,Kagiso Rabada,4,23,2,13,5.75,12.0,CSK,Wankhede Stadium,2022-04-25,2022
100,Tim Southee,4,23,2,9,5.75,12.0,SRH,Maharashtra Cricket Association Stadium,2022-05-14,2022
101,Chetan Sakariya,4,23,2,9,5.75,12.0,RR,DY Patil Stadium,2022-05-11,2022
102,Hrithik Shokeen,4,23,0,11,5.75,0.0,CSK,DY Patil Stadium,2022-04-21,2022
103,Prasidh Krishna,4,23,2,16,5.75,12.0,RCB,Maharashtra Cricket Association Stadium,2022-04-26,2022
104,Sunil Narine,4,23,0,8,5.75,0.0,SRH,Brabourne - CCI,2022-04-15,2022
105,Trent Boult,4,23,2,16,5.75,12.0,SRH,Maharashtra Cricket Association Stadium,2022-03-29,2022
106,Krishnappa Gowtham,4,23,1,15,5.75,24.0,DC,DY Patil Stadium,2022-04-07,2022
107,Sunil Narine,4,23,1,13,5.75,24.0,PBKS,Wankhede Stadium,2022-04-01,2022
108,Josh Hazlewood,4,23,2,12,5.75,12.0,RR,Narendra Modi Stadium,2022-05-27,2022
109,Yuzvendra Chahal,4,23,0,15,5.75,0.0,RCB,Maharashtra Cricket Association Stadium,2022-04-26,2022
110,Mukesh Choudhary,4,23,3,17,5.75,8.0,MI,Wankhede Stadium,2022-05-12,2022
111,Dwayne Bravo,4,23,3,12,5.75,8.0,GT,Maharashtra Cricket Association Stadium,2022-04-17,2022
112,Obed McCoy,4,23,3,10,5.75,8.0,RCB,Narendra Modi Stadium,2022-05-27,2022
113,Rashid Khan,4,24,0,11,6.0,0.0,RR,DY Patil Stadium,2022-04-14,2022
114,Jasprit Bumrah,4,24,0,9,6.0,0.0,LSG,Brabourne - CCI,2022-04-16,2022
115,Rashid Khan,4,24,2,10,6.0,12.0,MI,Brabourne - CCI,2022-05-06,2022
116,Avesh Khan,4,24,4,15,6.0,6.0,SRH,DY Patil Stadium,2022-04-04,2022
117,Mitchell Santner,4,24,0,11,6.0,0.0,GT,Wankhede Stadium,2022-05-15,2022
118,Krunal Pandya,4,24,0,5,6.0,0.0,GT,Maharashtra Cricket Association Stadium,2022-05-10,2022
119,Umesh Yadav,4,24,1,17,6.0,24.0,RR,Wankhede Stadium,2022-05-02,2022
120,Mohsin Khan,4,24,3,14,6.0,8.0,PBKS,Maharashtra Cricket Association Stadium,2022-04-29,2022
121,Ravi Bishnoi,4,24,2,11,6.0,12.0,CSK,Brabourne - CCI,2022-03-31,2022
122,Tim Southee,4,24,3,11,6.0,8.0,GT,DY Patil Stadium,2022-04-23,2022
123,Umesh Yadav,4,24,3,13,6.0,8.0,DC,Wankhede Stadium,2022-04-28,2022
124,Ravichandran Ashwin,4,24,1,7,6.0,24.0,LSG,Brabourne - CCI,2022-05-15,2022
125,Lockie Ferguson,4,24,0,11,6.0,0.0,LSG,Wankhede Stadium,2022-03-28,2022
126,Maheesh Theekshana,4,24,2,8,6.0,12.0,GT,Maharashtra Cricket Association Stadium,2022-04-17,2022
127,Kuldeep Yadav,4,24,2,9,6.0,12.0,PBKS,Brabourne - CCI,2022-04-20,2022
128,Yash Dayal,4,24,1,8,6.0,24.0,SRH,Wankhede Stadium,2022-04-27,2022
129,Riley Meredith,4,24,2,13,6.0,12.0,RR,DY Patil Stadium,2022-04-30,2022
130,Jasprit Bumrah,4,25,3,11,6.25,8.0,DC,Wankhede Stadium,2022-05-21,2022
131,Rahul Chahar,4,25,3,9,6.25,8.0,CSK,Brabourne - CCI,2022-04-03,2022
132,Josh Hazlewood,4,25,4,10,6.25,6.0,LSG,DY Patil Stadium,2022-04-19,2022
133,Liam Livingstone,4,25,0,8,6.25,0.0,SRH,Wankhede Stadium,2022-05-22,2022
134,Bhuvneshwar Kumar,4,25,1,14,6.25,24.0,DC,Brabourne - CCI,2022-05-05,2022
135,Axar Patel,4,25,0,9,6.25,0.0,LSG,Wankhede Stadium,2022-05-01,2022
136,Jason Holder,4,25,2,8,6.25,12.0,RCB,DY Patil Stadium,2022-04-19,2022
137,Varun Chakaravarthy,4,25,1,13,6.25,24.0,SRH,Maharashtra Cricket Association Stadium,2022-05-14,2022
138,Arshdeep Singh,4,25,0,10,6.25,0.0,SRH,Wankhede Stadium,2022-05-22,2022
139,Harshal Patel,4,25,1,11,6.25,24.0,LSG,Eden Gardens,2022-05-25,2022
140,Umesh Yadav,4,25,1,12,6.25,24.0,MI,Maharashtra Cricket Association Stadium,2022-04-06,2022
141,Mohammed Siraj,4,25,1,13,6.25,24.0,KKR,DY Patil Stadium,2022-03-30,2022
142,Trent Boult,4,25,1,9,6.25,24.0,KKR,Wankhede Stadium,2022-05-02,2022
143,Umran Malik,4,25,5,12,6.25,4.8,GT,Wankhede Stadium,2022-04-27,2022
144,Marco Jansen,4,25,3,14,6.25,8.0,RCB,Brabourne - CCI,2022-04-23,2022
145,Wanindu Hasaranga,4,25,1,7,6.25,24.0,GT,Wankhede Stadium,2022-05-19,2022
