POS,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date,Year
83,Mujeeb Ur Rahman,4.0,17,1,0,11,24.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2018-04-26,2018
84,Rashid Khan,4.0,19,3,0,11,8.0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,2018-04-26,2018
85,Jasprit Bumrah,4.0,19,1,0,11,24.0,PBKS,Holkar Cricket Stadium,2018-05-04,2018
86,Kuldeep Yadav,4.0,20,1,0,11,24.0,RCB,M. Chinnaswamy Stadium,2018-04-29,2018
87,Shakib Al Hasan,4.0,21,2,0,11,12.0,KKR,Eden Gardens,2018-04-14,2018
88,Ish Sodhi,4.0,21,1,0,11,24.0,KKR,Eden Gardens,2018-05-15,2018
89,Hardik Pandya,3.0,16,2,0,11,9.0,KKR,Eden Gardens,2018-05-09,2018
90,Harbhajan Singh,4.0,22,2,0,11,12.0,RCB,Maharashtra Cricket Association's International Stadium,2018-05-05,2018
91,Shreyas Gopal,4.0,22,2,0,11,12.0,RCB,M. Chinnaswamy Stadium,2018-04-15,2018
92,Barinder Sran,4.0,22,0,0,11,0.0,SRH,IS Bindra Stadium,2018-04-19,2018
93,Mayank Markande,4.0,23,4,0,11,6.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2018-04-12,2018
94,Mayank Markande,4.0,23,3,0,11,8.0,CSK,Wankhede Stadium,2018-04-07,2018
95,Rashid Khan,4.0,23,1,0,11,24.0,RR,Rajiv Gandhi Intl. Cricket Stadium,2018-04-09,2018
96,Krishnappa Gowtham,3.0,18,1,0,11,18.0,PBKS,Holkar Cricket Stadium,2018-05-06,2018
97,Krunal Pandya,4.0,24,0,0,11,0.0,RCB,M. Chinnaswamy Stadium,2018-05-01,2018
98,Sandeep Sharma,4.0,24,0,0,11,0.0,DC,Arun Jaitley Stadium,2018-05-10,2018
99,Andrew Tye,4.0,25,2,0,11,12.0,DC,Arun Jaitley Stadium,2018-04-23,2018
100,Mustafizur Rahman,4.0,25,1,0,11,24.0,DC,Wankhede Stadium,2018-04-14,2018
101,Ben Stokes,4.0,26,2,0,11,12.0,MI,Wankhede Stadium,2018-05-13,2018
102,Yuzvendra Chahal,4.0,26,2,0,11,12.0,CSK,M. Chinnaswamy Stadium,2018-04-25,2018
103,Lungi Ngidi,4.0,26,1,1,11,24.0,SRH,Wankhede Stadium,2018-05-27,2018
104,Imran Tahir,4.0,26,0,0,11,0.0,KKR,Chidambaram,2018-04-10,2018
105,Umesh Yadav,4.0,27,1,0,11,24.0,DC,M. Chinnaswamy Stadium,2018-04-21,2018
106,Sunil Narine,4.0,27,1,0,11,24.0,MI,Eden Gardens,2018-05-09,2018
107,Avesh Khan,4.0,28,0,0,11,0.0,CSK,Maharashtra Cricket Association's International Stadium,2018-04-30,2018
108,Umesh Yadav,4.0,29,2,0,11,12.0,MI,M. Chinnaswamy Stadium,2018-05-01,2018
109,Mujeeb Ur Rahman,4.0,29,1,0,11,24.0,RCB,M. Chinnaswamy Stadium,2018-04-13,2018
110,Mitchell McClenaghan,3.0,22,2,0,11,9.0,SRH,Wankhede Stadium,2018-04-24,2018
111,Ravichandran Ashwin,4.0,30,2,0,11,12.0,RCB,M. Chinnaswamy Stadium,2018-04-13,2018
112,Deepak Chahar,3.0,23,1,0,11,18.0,DC,Arun Jaitley Stadium,2018-05-18,2018
113,Chris Jordan,4.0,31,0,0,11,0.0,PBKS,IS Bindra Stadium,2018-04-19,2018
114,Mitchell McClenaghan,3.0,24,1,0,11,18.0,KKR,Eden Gardens,2018-05-09,2018
115,Imran Tahir,4.0,34,2,0,11,12.0,PBKS,IS Bindra Stadium,2018-04-15,2018
116,Mohammed Siraj,4.0,34,0,0,11,0.0,MI,Wankhede Stadium,2018-04-17,2018
117,Trent Boult,3.5,34,1,0,11,23.0,PBKS,IS Bindra Stadium,2018-04-08,2018
118,Mujeeb Ur Rahman,4.0,37,2,0,11,12.0,MI,Holkar Cricket Stadium,2018-05-04,2018
119,Shardul Thakur,4.0,37,1,0,11,24.0,KKR,Chidambaram,2018-04-10,2018
120,Jofra Archer,4.0,37,0,0,11,0.0,RCB,Sawai Mansingh Stadium,2018-05-19,2018
121,Chris Morris,4.0,41,2,0,11,12.0,KKR,Eden Gardens,2018-04-16,2018
122,KM Asif,3.0,32,1,0,11,18.0,KKR,Eden Gardens,2018-05-03,2018
123,Bhuvneshwar Kumar,4.0,51,1,0,11,24.0,DC,Arun Jaitley Stadium,2018-05-10,2018
124,Shreyas Gopal,4.0,16,4,0,10,6.0,RCB,Sawai Mansingh Stadium,2018-05-19,2018
125,Krishnappa Gowtham,3.0,12,2,0,10,9.0,PBKS,Sawai Mansingh Stadium,2018-05-08,2018
126,Krishnappa Gowtham,4.0,18,2,0,10,12.0,SRH,Sawai Mansingh Stadium,2018-04-29,2018
127,Piyush Chawla,4.0,18,1,0,10,24.0,RR,Sawai Mansingh Stadium,2018-04-18,2018
128,Lungi Ngidi,3.0,14,2,0,10,9.0,DC,Arun Jaitley Stadium,2018-05-18,2018
129,Ravindra Jadeja,4.0,19,1,0,10,24.0,DC,Arun Jaitley Stadium,2018-05-18,2018
130,Mayank Markande,3.0,15,2,0,10,9.0,SRH,Wankhede Stadium,2018-04-24,2018
131,Krishnappa Gowtham,3.0,15,2,0,10,9.0,KKR,Eden Gardens,2018-05-23,2018
132,Sunil Narine,4.0,20,2,0,10,12.0,CSK,Eden Gardens,2018-05-03,2018
133,Piyush Chawla,4.0,20,1,0,10,24.0,SRH,Eden Gardens,2018-04-14,2018
134,Sandeep Sharma,4.0,20,1,0,10,24.0,RCB,Rajiv Gandhi Intl. Cricket Stadium,2018-05-07,2018
135,Lungi Ngidi,4.0,20,1,0,10,24.0,SRH,Wankhede Stadium,2018-05-22,2018
136,Sandeep Lamichhane,4.0,21,1,0,10,24.0,CSK,Arun Jaitley Stadium,2018-05-18,2018
137,Jasprit Bumrah,3.0,17,1,0,10,18.0,KKR,Eden Gardens,2018-05-09,2018
138,Mohammed Siraj,3.0,17,1,0,10,18.0,PBKS,Holkar Cricket Stadium,2018-05-14,2018
139,Andrew Tye,4.0,23,2,0,10,12.0,SRH,IS Bindra Stadium,2018-04-19,2018
140,Amit Mishra,4.0,23,2,1,10,12.0,KKR,Arun Jaitley Stadium,2018-04-27,2018
141,Sunil Narine,4.0,23,1,0,10,24.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2018-05-19,2018
142,Harshal Patel,4.0,23,1,0,10,24.0,CSK,Arun Jaitley Stadium,2018-05-18,2018
143,Rahul Tewatia,3.0,18,3,0,10,6.0,KKR,Eden Gardens,2018-04-16,2018
144,Mustafizur Rahman,4.0,24,3,0,10,8.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2018-04-12,2018
145,Axar Patel,4.0,25,1,0,10,24.0,RCB,M. Chinnaswamy Stadium,2018-04-13,2018
146,Bhuvneshwar Kumar,4.0,25,1,0,10,24.0,PBKS,IS Bindra Stadium,2018-04-19,2018
147,Sandeep Lamichhane,4.0,25,1,0,10,24.0,RCB,Arun Jaitley Stadium,2018-05-12,2018
148,Rashid Khan,4.0,25,0,0,10,0.0,CSK,Maharashtra Cricket Association's International Stadium,2018-05-13,2018
149,Deepak Chahar,4.0,25,0,0,10,0.0,SRH,Wankhede Stadium,2018-05-27,2018
150,Mitchell McClenaghan,4.0,26,2,0,10,12.0,CSK,Maharashtra Cricket Association's International Stadium,2018-04-28,2018
1,Deepak Chahar,4.0,20,3,0,20,8.0,KKR,Chidambaram,2019-04-09,2019
2,Yuzvendra Chahal,4.0,6,1,1,18,24.0,CSK,Chidambaram,2019-03-23,2019
3,Imran Tahir,4.0,9,3,1,18,8.0,RCB,Chidambaram,2019-03-23,2019
4,Varun Aaron,4.0,20,2,1,17,12.0,KKR,Eden Gardens,2019-04-25,2019
5,Deepak Chahar,4.0,26,3,1,17,8.0,MI,Rajiv Gandhi Intl. Cricket Stadium,2019-05-12,2019
6,Mohammad Nabi,4.0,11,4,0,16,6.0,RCB,Rajiv Gandhi Intl. Cricket Stadium,2019-03-31,2019
7,Shreyas Gopal,4.0,12,3,1,16,8.0,RCB,Sawai Mansingh Stadium,2019-04-02,2019
8,Alzarri Joseph,3.4,12,6,1,16,3.66,SRH,Rajiv Gandhi Intl. Cricket Stadium,2019-04-06,2019
9,Rashid Khan,4.0,15,2,1,16,12.0,DC,ACA-VDCA Stadium,2019-05-08,2019
10,Navdeep Saini,4.0,24,0,0,16,0.0,CSK,Chidambaram,2019-03-23,2019
11,Deepak Chahar,4.0,25,2,0,16,12.0,RCB,M. Chinnaswamy Stadium,2019-04-21,2019
12,Mitchell Santner,4.0,13,2,0,15,12.0,MI,Chidambaram,2019-04-26,2019
13,Jofra Archer,4.0,15,3,0,15,8.0,PBKS,IS Bindra Stadium,2019-04-16,2019
14,Harbhajan Singh,4.0,15,2,0,15,12.0,KKR,Chidambaram,2019-04-09,2019
15,Ravindra Jadeja,4.0,15,2,1,15,12.0,RCB,Chidambaram,2019-03-23,2019
16,Axar Patel,4.0,16,0,0,15,0.0,CSK,Arun Jaitley Stadium,2019-03-26,2019
17,Ravindra Jadeja,4.0,17,1,0,15,24.0,KKR,Chidambaram,2019-04-09,2019
18,Bhuvneshwar Kumar,4.0,18,1,1,15,24.0,CSK,Chidambaram,2019-04-23,2019
19,Rahul Chahar,4.0,19,3,0,15,8.0,DC,Arun Jaitley Stadium,2019-04-18,2019
20,Moeen Ali,4.0,19,1,0,15,24.0,CSK,Chidambaram,2019-03-23,2019
21,Imran Tahir,4.0,21,2,0,15,12.0,KKR,Chidambaram,2019-04-09,2019
22,Jason Behrendorff,4.0,22,2,0,15,12.0,CSK,Wankhede Stadium,2019-04-03,2019
23,Navdeep Saini,4.0,24,1,0,15,24.0,CSK,M. Chinnaswamy Stadium,2019-04-21,2019
24,Shardul Thakur,4.0,18,2,0,14,12.0,KKR,Eden Gardens,2019-04-14,2019
25,Ravindra Jadeja,4.0,18,0,0,14,0.0,MI,Chidambaram,2019-05-07,2019
26,Jasprit Bumrah,4.0,20,3,0,14,8.0,RCB,M. Chinnaswamy Stadium,2019-03-28,2019
27,Hardik Pandya,4.0,20,3,0,14,8.0,CSK,Wankhede Stadium,2019-04-03,2019
28,Piyush Chawla,4.0,20,3,0,14,8.0,RR,Eden Gardens,2019-04-25,2019
29,Ishant Sharma,4.0,21,1,1,14,24.0,KKR,Eden Gardens,2019-04-12,2019
