POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year
110,Chris Gayle,14,5,280.0,0,2,RCB,Narendra Modi Stadium,2021-04-30,2021
111,Rahul Tewatia,14,5,280.0,0,2,CSK,Wankhede Stadium,2021-04-19,2021
112,Andre Russell,14,4,350.0,2,1,CSK,Wankhede Stadium,2021-04-21,2021
113,Suryakumar Yadav,14,6,233.33,3,0,SRH,Zayed Cricket Stadium,2021-10-08,2021
114,AB de Villiers,14,5,280.0,1,1,MI,Chidambaram,2021-04-09,2021
115,Shimron Hetmyer,13,4,325.0,3,0,RR,Zayed Cricket Stadium,2021-09-25,2021
116,Deepak Hooda,13,6,216.66,3,0,RR,Wankhede Stadium,2021-04-12,2021
117,Faf du Plessis,13,5,260.0,3,0,KKR,Wankhede Stadium,2021-04-21,2021
118,Devdutt Padikkal,13,4,325.0,0,2,RR,Wankhede Stadium,2021-04-22,2021
119,Suryakumar Yadav,13,6,216.66,3,0,KKR,Chidambaram,2021-04-13,2021
120,Dwayne Bravo,13,3,433.33,0,2,MI,Dubai International Stadium,2021-09-19,2021
121,Devdutt Padikkal,13,4,325.0,3,0,CSK,Wankhede Stadium,2021-04-25,2021
122,Prithvi Shaw,13,5,260.0,1,1,PBKS,Narendra Modi Stadium,2021-05-02,2021
123,Kieron Pollard,13,5,260.0,1,1,KKR,Zayed Cricket Stadium,2021-09-23,2021
124,Jos Buttler,13,6,216.66,1,1,MI,Arun Jaitley Stadium,2021-04-29,2021
125,Glenn Phillips,13,5,260.0,1,1,CSK,Zayed Cricket Stadium,2021-10-02,2021
126,Shikhar Dhawan,13,4,325.0,3,0,PBKS,Wankhede Stadium,2021-04-18,2021
127,Deepak Hooda,13,4,325.0,0,2,RR,Wankhede Stadium,2021-04-12,2021
128,Faf du Plessis,13,5,260.0,0,2,KKR,Wankhede Stadium,2021-04-21,2021
129,Moeen Ali,13,4,325.0,0,2,KKR,Dubai International Stadium,2021-10-15,2021
130,Jonny Bairstow,13,3,433.33,0,2,MI,Chidambaram,2021-04-17,2021
131,David Miller,13,4,325.0,0,2,DC,Wankhede Stadium,2021-04-15,2021
132,Prithvi Shaw,13,4,325.0,1,1,KKR,Narendra Modi Stadium,2021-04-29,2021
133,Ambati Rayudu,13,5,260.0,0,2,RR,Wankhede Stadium,2021-04-19,2021
134,Manish Pandey,13,5,260.0,1,1,MI,Zayed Cricket Stadium,2021-10-08,2021
135,Sanju Samson,13,5,260.0,2,0,MI,Arun Jaitley Stadium,2021-04-29,2021
136,Shimron Hetmyer,13,3,433.33,0,2,KKR,Sharjah Cricket Stadium,2021-10-13,2021
137,Ambati Rayudu,13,4,325.0,1,1,MI,Arun Jaitley Stadium,2021-05-01,2021
138,Ambati Rayudu,13,6,216.66,1,1,DC,Dubai International Stadium,2021-10-04,2021
139,Ruturaj Gaikwad,13,5,260.0,3,0,SRH,Arun Jaitley Stadium,2021-04-28,2021
140,Ruturaj Gaikwad,13,5,260.0,1,1,KKR,Zayed Cricket Stadium,2021-09-26,2021
141,Shreyas Iyer,13,4,325.0,1,1,KKR,Sharjah Cricket Stadium,2021-10-13,2021
142,Abdul Samad,13,4,325.0,0,2,KKR,Dubai International Stadium,2021-10-03,2021
143,Mahipal Lomror,13,3,433.33,0,2,PBKS,Dubai International Stadium,2021-09-21,2021
144,Wriddhiman Saha,13,5,260.0,0,2,CSK,Sharjah Cricket Stadium,2021-09-30,2021
145,Riyan Parag,13,4,325.0,0,2,PBKS,Wankhede Stadium,2021-04-12,2021
146,Ruturaj Gaikwad,13,6,216.66,1,1,KKR,Wankhede Stadium,2021-04-21,2021
147,Ishan Kishan,13,4,325.0,1,1,RCB,Chidambaram,2021-04-09,2021
148,Mohammad Nabi,13,3,433.33,0,2,RR,Arun Jaitley Stadium,2021-05-02,2021
149,Venkatesh Iyer,13,5,260.0,0,2,RR,Sharjah Cricket Stadium,2021-10-07,2021
150,Ambati Rayudu,13,5,260.0,1,1,DC,Dubai International Stadium,2021-10-04,2021
