Players,Team,Type,Base,Sold
Tanay Thyagarajan,-,BAT,0,
Money Grewal,-,BOWL,0,
Ashwani Kumar,MI,BOWL,0,0.3
Ishan Porel,-,BOWL,0,
Abhilash Shetty,-,BOWL,0,
Akash Singh,LSG,BOWL,0,0.3
Gurjapneet Singh,CSK,BOWL,0,2.2
Basil Thampi,-,BOWL,0,
Murugan Ashwin,-,BOWL,0,
Shreyas Chavan,-,BOWL,0,
Chintal Gandhi,-,BOWL,0,
Raghav Goyal,-,BOWL,0,
Jagadeesha Suchith,-,BOWL,0,
Roshan Waghsare,-,BOWL,0,
Bailapudi Yeswanth,-,BOWL,0,
Sediqullah Atal,-,BAT,0,
Matthew Breetzke,LSG,BAT,0,0.75
Mark Chapman,-,BAT,1,
Brandon King,-,BAT,0,
Evin Lewis,-,BAT,2,
Pathum Nissanka,-,BAT,0,
Bhanuka Rajapaksa,-,BAT,0,
Steven Smith,-,BAT,2,
Gus Atkinson,-,AR,2,
Tom Curran,-,AR,2,
Krishnappa Gowtham,-,AR,1,
Mohammad Nabi,-,AR,1,
Gulbadin Naib,-,AR,1,
Sikandar Raza,-,AR,1,
Mitchell Santner,MI,AR,2,2.0
Jayant Yadav,GT,AR,0,0.75
Johnson Charles,-,BAT,0,
Litton Das,-,BAT,0,
Andre Fletcher,-,BAT,0,
Tom Latham,-,BAT,1,
Ollie Pope,-,BAT,0,
Kyle Verreynne,-,BAT,0,
Fazalhaq Farooqi,RR,BOWL,2,2.0
Richard Gleeson,-,BOWL,0,
Matt Henry,-,BOWL,2,
Alzarri Joseph,-,BOWL,2,
Kwena Maphaka,RR,BOWL,0,1.5
Kuldeep Sen,PBKS,BOWL,0,0.8
Reece Topley,MI,BOWL,0,0.75
Lizaad Williams,MI,BOWL,0,0.75
Luke Wood,-,BOWL,0,
Sachin Dhas,-,BAT,0,
Leus du Plooy,-,BAT,0,
Ashwin Hebbar,-,BAT,0,
Rohan  Kunnummal,-,BAT,0,
Ayush Pandey,-,BAT,0,
Akshat Raghuwanshi,-,BAT,0,
Shoun Roger,-,BAT,0,
Virat Singh,-,BAT,0,
Priyansh Arya,PBKS,AR,0,3.8
Manoj Bhandage,RCB,AR,0,0.3
Praveen Dubey,PBKS,AR,0,0.3
Ajay Mandal,DC,AR,0,0.3
Prerak Mankad,-,AR,0,
Vipraj Nigam,DC,AR,0,0.5
